"disease","metabolite","chemical_taxonomy"
"Pregnancy","pc(20:1(11z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:1(11z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(20:1(11z)/18:3(9z,12z,15z))","None"
"Pregnancy","pc(20:1(11z)/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(20:1(11z)/20:5(5z,8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:1(11z)/22:1(13z))","None"
"Pregnancy","pc(20:1(11z)/p-16:0)","None"
"Pregnancy","pc(20:2(11z,14z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/16:1(9z))","None"
"Pregnancy","pc(20:2(11z,14z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/18:1(9z))","None"
"Pregnancy","pc(20:2(11z,14z)/18:2(9z,12z))","None"
"Pregnancy","pc(20:2(11z,14z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(20:2(11z,14z)/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(20:2(11z,14z)/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/22:0)","None"
"Pregnancy","pc(20:2(11z,14z)/22:2(13z,16z))","None"
"Pregnancy","pc(20:2(11z,14z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:2(11z,14z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/14:1(9z))","None"
"Pregnancy","pc(20:3(5z,8z,11z)/16:0)","None"
"Pregnancy","pc(20:3(5z,8z,11z)/16:1(9z))","None"
"Pregnancy","pc(20:3(5z,8z,11z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/18:1(11z))","None"
"Pregnancy","pc(20:3(5z,8z,11z)/18:1(9z))","None"
"Pregnancy","pc(20:3(5z,8z,11z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(20:3(5z,8z,11z)/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/22:1(13z))","None"
"Pregnancy","pc(20:3(5z,8z,11z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(5z,8z,11z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/16:0)","None"
"Pregnancy","pc(20:3(8z,11z,14z)/16:1(9z))","None"
"Pregnancy","pc(20:3(8z,11z,14z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/18:1(11z))","None"
"Pregnancy","pc(20:3(8z,11z,14z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(20:3(8z,11z,14z)/18:3(9z,12z,15z))","None"
"Pregnancy","pc(20:3(8z,11z,14z)/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/22:1(13z))","None"
"Pregnancy","pc(20:3(8z,11z,14z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:3(8z,11z,14z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/14:0)","None"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/22:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(5z,8z,11z,14z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/14:0)","None"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/16:0)","None"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/18:0)","None"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/18:2(9z,12z))","None"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/22:0)","None"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:4(8z,11z,14z,17z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/16:1(9z))","None"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/20:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:5(5z,8z,11z,14z,17z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:0/14:1(9z))","None"
"Pregnancy","pc(22:0/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:0/20:2(11z,14z))","None"
"Pregnancy","pc(22:0/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:0/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:1(13z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:1(13z)/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:1(13z)/20:1(11z))","None"
"Pregnancy","pc(22:1(13z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(22:1(13z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(22:2(13z,16z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:2(13z,16z)/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:2(13z,16z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:2(13z,16z)/18:4(6z,9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:2(13z,16z)/20:0)","None"
"Pregnancy","pc(22:2(13z,16z)/20:2(11z,14z))","None"
"Pregnancy","pc(22:4(7z,10z,13z,16z)/14:0)","None"
"Pregnancy","pc(22:4(7z,10z,13z,16z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:4(7z,10z,13z,16z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:4(7z,10z,13z,16z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:4(7z,10z,13z,16z)/20:0)","None"
"Pregnancy","pc(22:4(7z,10z,13z,16z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/14:1(9z))","None"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/16:1(9z))","None"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(4z,7z,10z,13z,16z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:5(7z,10z,13z,16z,19z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(22:6(4z,7z,10z,13z,16z,19z)/14:0)","None"
"Pregnancy","pc(22:6(4z,7z,10z,13z,16z,19z)/16:0)","None"
"Pregnancy","pc(22:6(4z,7z,10z,13z,16z,19z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:6(4z,7z,10z,13z,16z,19z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(22:6(4z,7z,10z,13z,16z,19z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(24:0/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(24:0/18:2(9z,12z))","None"
"Pregnancy","pc(24:0/18:4(6z,9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(24:1(15z)/18:1(11z))","None"
"Pregnancy","pc(24:1(15z)/18:1(9z))","None"
"Pregnancy","pc(24:1(15z)/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(24:1(15z)/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(24:1(15z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(24:1(15z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","estriol-3-glucuronide","Lipids and lipid-like molecules"
"Pregnancy","estriol 3-sulfate 16-glucuronide","Lipids and lipid-like molecules"
"Pregnancy","lysopc(16:0)","Lipids and lipid-like molecules"
"Pregnancy","lysopc(16:1(9z)/0:0)","Lipids and lipid-like molecules"
"Pregnancy","lysopc(18:0)","Lipids and lipid-like molecules"
"Pregnancy","lysopc(18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","lysopc(20:4(5z,8z,11z,14z))","None"
"Pregnancy","lysopc(20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(o-16:0/18:2(9z,12z))","None"
"Pregnancy","pc(p-16:0/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/18:1(11z))","None"
"Pregnancy","pc(p-16:0/18:1(9z))","None"
"Pregnancy","pc(p-16:0/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(p-16:0/20:1(11z))","None"
"Pregnancy","pc(p-16:0/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/20:3(5z,8z,11z))","None"
"Pregnancy","pc(p-16:0/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/22:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-16:0/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/16:1(9z))","None"
"Pregnancy","pc(p-18:0/18:1(11z))","None"
"Pregnancy","pc(p-18:0/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/18:2(9z,12z))","None"
"Pregnancy","pc(p-18:0/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(p-18:0/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(p-18:0/20:5(5z,8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:0/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/16:0)","None"
"Pregnancy","pc(p-18:1(11z)/16:1(9z))","None"
"Pregnancy","pc(p-18:1(11z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/18:1(11z))","None"
"Pregnancy","pc(p-18:1(11z)/18:1(9z))","None"
"Pregnancy","pc(p-18:1(11z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/18:3(9z,12z,15z))","None"
"Pregnancy","pc(p-18:1(11z)/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(p-18:1(11z)/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(p-18:1(11z)/20:5(5z,8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/22:5(7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/24:1(15z))","None"
"Pregnancy","pc(p-18:1(11z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(11z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/16:0)","None"
"Pregnancy","pc(p-18:1(9z)/16:1(9z))","None"
"Pregnancy","pc(p-18:1(9z)/18:0)","None"
"Pregnancy","pc(p-18:1(9z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(p-18:1(9z)/18:3(9z,12z,15z))","None"
"Pregnancy","pc(p-18:1(9z)/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(p-18:1(9z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(p-18:1(9z)/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(p-18:1(9z)/20:5(5z,8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/22:5(7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/24:1(15z))","None"
"Pregnancy","pc(p-18:1(9z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(p-18:1(9z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","lysopc(17:0)","Lipids and lipid-like molecules"
"Pregnancy","valerylcarnitine","Lipids and lipid-like molecules"
"Pregnancy","glutaconylcarnitine","Organic acids and derivatives"
"Pregnancy","nonanoylcarnitine","Organic acids and derivatives"
"Pregnancy","pc(o-16:0/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:0/18:0)","None"
"Pregnancy","pc(o-16:0/20:0)","None"
"Pregnancy","pc(o-16:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:0/22:0)","None"
"Pregnancy","pc(o-16:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:1(9z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:1(9z)/18:0)","None"
"Pregnancy","pc(o-16:1(9z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:1(9z)/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:1(9z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-16:1(9z)/22:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:0/18:2(9z,12z))","None"
"Pregnancy","pc(o-18:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:0/22:6(4z,7z,10z,13z,16z,19z))","None"
"Pregnancy","pc(o-18:1(11z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:1(11z)/18:2(9z,12z))","None"
"Pregnancy","pc(o-18:1(9z)/16:0)","None"
"Pregnancy","pc(o-18:1(9z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:1(9z)/18:1(11z))","None"
"Pregnancy","pc(o-18:1(9z)/18:2(9z,12z))","None"
"Pregnancy","pc(o-18:1(9z)/20:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:1(9z)/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(o-18:1(9z)/22:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:1(9z)/24:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:2(9z,12z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:2(9z,12z)/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(o-18:2(9z,12z)/22:0)","None"
"Pregnancy","pc(o-18:2(9z,12z)/24:0)","None"
"Pregnancy","pc(o-20:0/18:3(6z,9z,12z))","None"
"Pregnancy","pc(o-20:0/18:3(9z,12z,15z))","None"
"Pregnancy","pc(o-20:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-20:1(11z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:0/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:0/22:3(10z,13z,16z))","None"
"Pregnancy","pc(o-22:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:1(13z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:1(13z)/22:2(13z,16z))","None"
"Pregnancy","pc(o-22:1(13z)/22:3(10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:2(13z,16z)/22:2(13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-22:2(13z,16z)/22:3(10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(o-24:0/18:3(6z,9z,12z))","None"
"Pregnancy","pc(o-24:0/18:3(9z,12z,15z))","None"
"Pregnancy","pc(o-24:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","sm(d18:0/14:1(9z)(oh))","Lipids and lipid-like molecules"
"Pregnancy","sm(d18:0/16:1(9z)(oh))","Lipids and lipid-like molecules"
"Pregnancy","sm(d18:0/22:1(13z)(oh))","None"
"Pregnancy","sm(d18:0/22:2(13z,16z)(oh))","None"
"Pregnancy","sm(d18:0/24:1(15z)(oh))","Lipids and lipid-like molecules"
"Pregnancy","sm c16:1","Organic nitrogen compounds"
"Diabetes mellitus type 2","1-methylhistidine","Organic acids and derivatives"
"Diabetes mellitus type 2","(r)-3-hydroxybutyric acid","Organic acids and derivatives"
"Diabetes mellitus type 2","(s)-3-hydroxyisobutyric acid","Organic acids and derivatives"
"Diabetes mellitus type 2","acetoacetic acid","Organic acids and derivatives"
"Diabetes mellitus type 2","l-carnitine","Organic nitrogen compounds"
"Diabetes mellitus type 2","dimethylamine","Organic nitrogen compounds"
